;1_1;1_2;1_3;1_4;1_5;1_6;1_7;1_8;1_9;1_10;1_11;1_12;1_13;1_14;1_16;1_17;1_18;1_21;1_22;2_1;2_2;2_3;2_4;2_5;2_6;2_7;2_8;2_9;2_10;2_11;2_12;2_13;2_14;2_16;2_17;2_18;2_21;2_22;3_1;3_2;3_3;3_4;3_5;3_6;3_7;3_8;3_9;3_10;3_11;3_12;3_13;3_14;3_16;3_17;3_18;3_21;3_22;4_1;4_2;4_3;4_4;4_5;4_6;4_7;4_8;4_9;4_10;4_11;4_12;4_13;4_14;4_16;4_17;4_18;4_21;4_22;5_1;5_2;5_3;5_4;5_5;5_6;5_7;5_8;5_9;5_10;5_11;5_12;5_13;5_14;5_16;5_17;5_18;5_21;5_22;6_1;6_2;6_3;6_4;6_5;6_6;6_7;6_8;6_9;6_10;6_11;6_12;6_13;6_14;6_16;6_17;6_18;6_21;6_22;7_1;7_2;7_3;7_4;7_5;7_6;7_7;7_8;7_9;7_10;7_11;7_12;7_13;7_14;7_16;7_17;7_18;7_21;7_22;8_1;8_2;8_3;8_4;8_5;8_6;8_7;8_8;8_9;8_10;8_11;8_12;8_13;8_14;8_16;8_17;8_18;8_21;8_22;9_1;9_2;9_3;9_4;9_5;9_6;9_7;9_8;9_9;9_10;9_11;9_12;9_13;9_14;9_16;9_17;9_18;9_21;9_22;10_1;10_2;10_3;10_4;10_5;10_6;10_7;10_8;10_9;10_10;10_11;10_12;10_13;10_14;10_16;10_17;10_18;10_21;10_22;11_1;11_2;11_3;11_4;11_5;11_6;11_7;11_8;11_9;11_10;11_11;11_12;11_13;11_14;11_16;11_17;11_18;11_21;11_22;12_1;12_2;12_3;12_4;12_5;12_6;12_7;12_8;12_9;12_10;12_11;12_12;12_13;12_14;12_16;12_17;12_18;12_21;12_22;13_1;13_2;13_3;13_4;13_5;13_6;13_7;13_8;13_9;13_10;13_11;13_12;13_13;13_14;13_16;13_17;13_18;13_21;13_22;14_1;14_2;14_3;14_4;14_5;14_6;14_7;14_8;14_9;14_10;14_11;14_12;14_13;14_14;14_17;14_18;14_22;16_1;16_2;16_3;16_4;16_5;16_6;16_7;16_8;16_9;16_10;16_11;16_12;16_13;16_14;16_16;16_17;16_18;16_22;17_1;17_2;17_3;17_4;17_5;17_6;17_7;17_8;17_9;17_10;17_11;17_12;17_13;17_14;17_16;17_17;17_18;17_21;17_22;18_1;18_2;18_3;18_4;18_5;18_6;18_7;18_8;18_9;18_10;18_11;18_12;18_13;18_14;18_16;18_17;18_18;18_21;18_22;21_1;21_2;21_3;21_4;21_5;21_6;21_7;21_8;21_9;21_10;21_11;21_12;21_13;21_17;21_18;21_22;22_1;22_2;22_3;22_4;22_5;22_6;22_7;22_8;22_9;22_10;22_11;22_12;22_13;22_14;22_16;22_17;22_18;22_21;22_22
25;3655;1244;230;1921;1024;224;0;686;135;607;1535;498;0;0;21;0;143;0;0;1422;465;86;725;392;89;0;258;54;231;592;187;0;0;0;0;54;0;0;200;69;10;98;50;12;0;33;8;31;82;21;0;0;0;0;8;0;0;1949;670;127;990;530;117;0;335;68;315;809;252;0;0;0;0;75;0;0;1126;383;75;595;300;67;0;195;42;187;475;151;0;0;0;0;48;0;0;120;35;8;63;33;6;0;20;5;23;52;13;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1120;393;72;610;330;64;0;210;37;185;467;173;0;0;0;0;44;0;0;37;8;2;22;8;3;0;5;1;10;15;1;0;0;0;0;1;0;0;511;172;34;270;138;29;0;88;16;78;214;67;0;0;0;0;22;0;0;1217;400;78;631;325;76;0;205;49;202;496;146;0;0;0;0;48;0;0;964;340;64;513;274;55;0;184;33;154;398;136;0;0;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;581;217;35;315;175;28;0;147;14;91;224;119;0;0;21;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;115;39;7;60;27;8;0;19;5;17;48;9;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32;12403;3923;352;7182;4107;1225;95;3732;364;2561;4422;4103;106;0;0;0;502;0;301;4451;1378;128;2614;1480;430;37;1305;123;943;1587;1461;37;0;0;0;182;0;97;1070;349;36;611;356;105;18;319;26;241;391;344;8;0;0;0;54;0;28;6722;2050;181;3828;2230;684;30;2055;187;1349;2383;2224;64;0;0;0;260;0;153;4109;1276;112;2346;1326;418;27;1250;112;825;1466;1350;38;0;0;0;163;0;101;1145;365;30;636;362;105;9;343;34;223;396;371;11;0;0;0;44;0;35;379;122;9;234;129;36;3;109;9;86;144;118;3;0;0;0;15;0;6;3536;1133;95;1993;1142;347;29;1035;102;704;1250;1137;33;0;0;0;143;0;86;268;89;10;165;96;26;3;82;6;61;100;90;2;0;0;0;13;0;6;3127;965;83;1819;1047;317;22;952;83;630;1136;1039;26;0;0;0;130;0;69;4584;1434;122;2633;1498;459;27;1372;128;916;1596;1487;40;0;0;0;177;0;115;3797;1189;106;2176;1250;379;32;1163;110;761;1363;1225;33;0;0;0;158;0;94;52;16;1;24;14;4;0;13;2;10;17;17;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;920;295;27;532;305;91;12;271;23;194;336;292;7;0;0;0;36;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;331;115;8;199;107;25;6;98;10;75;113;106;2;0;0;0;13;0;6
35;69378;33109;1976;52348;47787;2525;1458;25719;2666;32551;28970;46678;3468;1526;590;13952;6968;0;5942;31047;14706;884;23538;21428;1096;655;11615;1199;14656;12968;21061;1567;694;272;6376;3127;0;2594;2127;1008;55;1562;1407;76;43;768;82;961;864;1387;104;47;18;392;215;0;181;43140;20494;1254;32640;30240;1521;939;16609;1698;20708;18223;29772;2217;997;388;9144;4350;0;3565;39868;18992;1178;29920;27495;1436;843;14823;1521;18677;16709;26884;2003;864;334;7936;3919;0;3328;3070;1484;89;2319;2089;105;66;1099;114;1400;1281;2039;162;55;22;592;296;0;245;780;377;23;597;567;24;15;298;33;378;336;563;44;15;6;136;80;0;70;16803;7993;486;12575;11967;611;386;6441;676;7993;7174;11714;867;377;142;3568;1702;0;1382;1810;865;50;1374;1299;66;39;692;66;882;779;1263;81;42;16;352;196;0;146;23399;11144;689;17692;16573;850;522;9107;918;11175;9967;16208;1208;546;206;5136;2331;0;1892;25115;11972;731;18897;17366;894;534;9356;961;11783;10440;16973;1278;549;214;5056;2476;0;2102;32025;15231;934;24244;22701;1126;703;12340;1269;15442;13622;22155;1622;724;284;6552;3265;0;2643;2500;1185;72;1879;1757;78;52;957;111;1192;1042;1754;120;55;22;472;267;0;223;712;338;19;539;546;35;21;307;30;354;321;542;41;15;256;74;49;156;72;4;124;136;8;6;86;8;94;76;138;10;8;1;80;18;10;6936;3256;224;5192;5224;248;200;2816;320;3264;3064;5264;424;80;32;1540;633;0;536;4968;2377;137;3842;3601;184;112;1946;188;2469;2164;3487;245;118;46;1159;496;0;395;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8232;3942;237;6163;5602;325;158;2950;310;3808;3408;5375;385;179;66;1592;821;0;703
36;6555;2035;423;10146;6983;308;356;5492;64;5308;4240;7069;517;200;0;2720;281;14;490;2680;820;163;4082;2771;129;141;2184;25;2112;1739;2813;204;75;0;1118;111;7;197;497;165;28;733;479;34;25;384;6;365;317;490;35;12;0;270;22;2;42;8024;2396;531;12403;8784;283;448;6961;49;6728;5130;8859;614;282;0;2610;303;4;457;4632;1370;329;7174;5050;161;256;4048;32;3851;2965;5196;359;169;0;1392;180;2;277;1072;363;62;1613;1051;66;55;811;16;781;702;1066;81;24;0;628;52;5;101;219;64;15;342;249;5;10;208;0;196;145;245;15;9;0;87;7;0;8;3478;1014;240;5363;3830;125;182;3003;27;2914;2184;3874;268;129;0;1113;129;2;207;166;57;10;267;170;8;10;129;1;122;115;172;13;4;0;66;8;0;16;3317;963;235;5122;3724;119;179;2936;28;2775;2082;3724;263;125;0;992;128;1;210;4040;1213;259;6246;4307;162;215;3432;29;3318;2556;4411;308;133;0;1485;158;4;249;5006;1492;350;7731;5409;194;280;4316;38;4151;3149;5460;380;178;0;1594;199;6;304;518;165;37;808;550;27;30;434;5;412;340;565;36;16;0;208;22;1;32;30;7;4;34;33;0;1;27;0;25;11;32;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6940;2326;402;10662;7092;380;333;5439;102;5308;4563;7226;548;168;0;3486;361;40;672;409;135;26;645;426;20;23;339;4;322;274;431;32;11;0;143;15;0;27;101;34;6;154;99;7;5;76;2;74;68;99;8;44;6;12;890;295;54;1439;935;43;52;729;8;690;615;956;76;24;0;336;45;0;66
38;104196;44659;5460;94823;72945;5417;1558;30986;1963;54376;52550;62167;4529;1490;0;61801;6955;436;3008;38058;16290;2032;34617;26842;1948;580;11367;729;20183;19213;22868;1684;559;0;22938;2542;170;1098;4594;1950;231;4297;3257;247;73;1395;87;2443;2360;2768;199;62;0;2721;317;22;131;103972;44118;5273;94395;72190;5416;1541;30591;1907;53677;52270;61406;4443;1457;0;59238;7013;413;2942;62327;26734;3255;56570;43660;3213;932;18524;1162;32842;31400;37260;2739;896;0;36246;4107;272;1762;9207;3844;457;8504;6259;496;139;2678;164;4616;4698;5347;383;124;0;5838;643;32;284;1641;687;81;1504;1140;85;21;480;25;849;832;969;69;24;0;923;116;6;46;27967;11982;1443;25524;19660;1450;423;8256;528;14724;14118;16705;1229;403;0;16059;1887;118;788;1693;719;89;1573;1206;92;31;504;28;933;863;1028;83;27;0;1035;113;8;50;39766;17103;2089;35933;28134;1976;593;11850;715;21115;20074;23829;1753;566;0;22909;2615;179;1119;55759;23684;2854;50825;38752;2886;827;16455;1033;28748;27966;32991;2367;776;0;32068;3767;225;1589;53911;23106;2820;49084;37924;2781;809;16061;1004;28495;27207;32131;2369;767;0;30681;3571;239;1525;3697;1574;197;3387;2589;193;57;1093;61;1955;1899;2203;153;54;0;2257;252;15;114;795;346;48;718;584;36;11;242;13;464;409;503;36;10;435;54;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147505;59960;7355;139992;99322;8818;2283;43023;2629;71439;76478;85651;5987;1855;0;104653;10447;458;5301;7669;3250;387;6907;5365;381;108;2241;143;3977;3817;4557;324;106;0;4209;496;31;200;21;11;0;22;24;0;1;11;0;27;12;15;3;0;1;0;4761;1979;243;4453;3270;260;73;1405;86;2383;2440;2793;192;61;0;2485;344;17;136
40;117855;50409;3457;119756;79002;9821;2260;38212;2481;38263;69255;68203;4100;1355;391;6477;4264;378;370;43875;18721;1271;44196;29082;3757;811;14112;902;14125;25659;25187;1471;512;152;2157;1615;148;120;4319;1833;120;4389;2887;347;85;1388;85;1381;2547;2492;151;49;14;240;155;13;14;125188;53580;3675;126756;83802;10445;2397;40524;2618;40412;73547;72318;4348;1427;409;6835;4542;401;376;83322;35714;2457;84534;55611;6984;1592;26913;1720;26843;49008;48226;2904;955;274;4433;3016;265;250;5731;2451;165;5683;3704;496;98;1805;109;1825;3358;3229;172;69;22;210;223;21;12;3086;1323;91;3147;2082;254;55;1018;69;1014;1817;1805;115;36;10;210;111;10;10;35660;15376;1044;36084;23855;3059;654;11476;718;11407;20971;20590;1221;429;124;1845;1308;120;88;1893;844;59;1918;1286;179;30;650;36;591;1102;1098;62;26;7;90;73;7;2;38525;16527;1147;39220;25929;3231;724;12609;831;12403;22664;22277;1325;452;131;2232;1403;128;122;72171;30795;2109;73117;48186;5954;1384;23261;1517;23314;42195;41692;2506;824;241;4062;2601;232;232;67877;29133;1988;68802;45294;5731;1275;21970;1422;21963;39788;39060;2333;791;228;3628;2466;221;208;5134;2215;153;5228;3442;436;94;1667;109;1677;3023;2987;171;57;17;255;186;17;16;589;264;15;589;381;59;8;179;10;180;340;329;19;6;15;22;0;95;42;2;95;60;10;1;28;2;27;50;52;2;2;0;0;3;0;8103;3663;240;8285;5587;750;120;2715;180;2508;4668;4772;315;105;30;435;285;30;0;3512;1489;101;3522;2328;289;65;1124;71;1125;2055;2014;118;42;13;195;120;11;12;108;46;3;103;69;11;1;32;2;30;59;59;2;0;5;0;602;268;18;632;418;52;12;216;16;194;350;352;22;8;2;60;20;2;1
42;2968266;1153403;137476;2891158;2202305;138295;43836;1053592;88633;1193571;1543851;1730209;64569;12161;46434;93482;131989;5091;88412;1083763;420903;50533;1051705;803809;50332;15689;382865;32450;433168;562014;629260;23348;4314;15780;33298;48431;1838;31996;103787;40349;4851;101676;77022;4799;1527;36438;3077;41839;53917;60160;2272;420;1645;3111;4435;189;3014;2531167;990845;118599;2474200;1893792;115267;36011;899484;77037;1015844;1309829;1476561;54416;9966;32998;80453;111084;4448;74534;1911351;745775;90090;1862008;1423828;88092;27349;676082;57850;766883;989842;1112408;41024;7459;26855;59496;84309;3301;56562;183389;70844;8269;178433;134724;8646;2851;65198;5380;74150;96059;107058;4064;795;3357;5705;8336;304;5526;60955;23785;2730;59664;45235;2825;903;21958;1848;24619;31848;35696;1358;263;905;2075;2730;105;1841;1022732;399271;47910;996216;762094;47266;14678;362526;30938;409625;530031;596791;21943;4043;14378;32381;45585;1752;30434;64898;25384;3160;63138;48494;2936;861;22738;1953;25907;33395;37644;1369;231;831;1919;2863;114;1954;1106957;433424;51617;1084556;826589;50458;15973;394663;33565;445096;573969;646830;23894;4435;15334;35292;48720;1944;32821;1590131;618534;73397;1551521;1180926;73693;23450;565641;47623;640015;826255;928368;34608;6496;24589;50792;70803;2712;47589;1671843;652268;78044;1629539;1244040;77214;24332;592601;50304;670994;866888;973710;36005;6548;23929;52314;74235;2850;49612;69466;27142;3173;67959;51816;3196;1007;24917;2096;28026;36122;40775;1485;296;1056;2304;3076;121;2104;14646;5784;669;14509;11109;657;210;5329;462;5949;7650;8808;309;55;575;657;477;109534;42972;4691;109402;81177;5091;1847;40150;3201;45082;57715;65415;2464;472;2016;3686;4973;3343;101478;40142;4809;97547;75544;4855;1365;35779;3121;40228;52088;59366;2096;305;1434;3160;4724;130;3292;155577;59893;7247;151466;114875;7240;2344;54951;4571;62672;80945;90493;3414;641;2579;4716;6903;264;4659;2220;916;108;2227;1763;92;24;804;75;888;1146;1338;44;110;90;68;87052;34100;4114;85666;64974;3978;1255;30910;2582;35147;45003;50900;1856;315;1265;2468;3837;148;2556
43;79800;21570;4585;64159;48135;2160;982;29323;4902;46642;37234;47547;3815;2343;1026;20777;7007;740;5697;18830;5050;1071;15097;11356;503;228;6916;1141;10884;8778;11133;873;544;234;4748;1648;167;1331;4215;1151;231;3416;2546;104;49;1520;243;2433;1956;2463;186;125;48;994;358;39;300;55041;15001;3140;44253;32957;1480;664;20398;3505;32416;25516;32913;2750;1612;741;14399;4807;506;3927;50265;13490;2866;40351;30135;1365;617;18396;3082;29268;23366;29919;2430;1459;645;12973;4404;467;3552;3840;1012;226;2990;2325;105;52;1357;218;2125;1798;2252;170;103;45;977;318;37;267;1818;479;105;1422;1105;53;21;643;106;1008;849;1063;77;51;21;461;152;18;127;25877;7022;1516;20726;15552;713;323;9453;1583;14878;12096;15360;1241;733;327;6643;2212;236;1828;3898;1081;241;3051;2330;112;48;1453;231;2189;1868;2311;180;106;54;1123;317;35;281;34958;9720;2055;28376;20916;935;420;13274;2299;20706;16463;21153;1798;1025;525;10197;3080;305;2517;35166;9503;2026;28422;21160;917;418;12882;2114;20461;16290;20813;1664;1028;438;8743;3048;322;2488;42453;11592;2487;34137;25431;1123;512;15690;2639;24747;19912;25200;2045;1239;555;11186;3659;383;3039;2585;743;166;2018;1506;70;35;967;172;1466;1232;1555;120;66;39;772;216;24;189;1657;466;95;1368;1001;47;19;647;114;1015;782;1011;94;45;514;147;117;174;69;18;153;93;0;0;87;12;87;105;120;9;3;3;0;6;12;8823;2726;634;7653;5231;133;57;3569;505;4899;4651;5464;412;226;222;2701;604;57;674;6193;1685;368;5027;3714;177;79;2342;409;3652;2925;3766;312;183;93;1838;528;52;448;860;237;49;686;517;23;10;316;53;511;402;517;40;239;80;65;3903;1093;228;3225;2352;93;41;1484;247;2379;1856;2361;195;123;60;1102;344;31;276
44;474825;152663;11374;326470;306123;29101;9920;156089;17669;135189;192599;276448;6108;1116;898;76137;32308;770;21609;160312;51360;3934;110453;103693;9792;3293;52662;6057;45808;64925;93315;2148;391;326;25438;10863;258;7235;14951;4733;351;10263;9785;932;314;4842;591;4320;6072;8716;200;33;37;2239;1003;26;665;350180;112321;8475;240471;226478;21596;7286;114938;13200;100118;142234;203499;4517;798;672;55296;23754;558;15880;343227;110093;8197;235726;221445;21128;7134;112452;12850;98219;139404;199561;4380;775;669;54303;23234;546;15535;39149;12678;958;26984;25492;2415;795;12800;1479;11247;15913;22691;529;87;93;6022;2626;66;1729;7630;2485;172;5206;4854;465;153;2506;262;2139;3111;4412;80;16;10;1333;506;13;341;147136;47169;3555;100896;94674;8970;3092;48205;5448;41762;59680;85348;1825;342;242;24350;9858;246;6656;26206;8388;624;18030;17120;1671;548;8547;990;7652;10683;15266;346;51;64;3720;1758;39;1175;156336;50171;3753;107388;100915;9683;3243;51227;5803;44551;63625;90586;1980;346;292;24391;10531;249;7060;192526;61870;4593;131896;123666;11737;3999;63165;7092;54480;77815;111643;2451;446;360;30892;13035;315;8700;278327;89334;6647;191387;179393;17139;5830;91611;10339;79545;113112;161596;3519;633;521;43617;18825;440;12634;11442;3630;286;7975;7608;731;244;3773;464;3402;4659;6723;153;25;22;1596;769;16;509;834;251;21;590;557;53;20;280;39;252;344;505;11;1;94;56;38;5927;1921;152;4186;3993;397;116;1935;251;1801;2405;3462;104;13;21;671;404;260;19413;6020;407;12716;10965;838;431;6128;690;4911;7818;12145;168;102;15;4753;1522;29;1008;34967;11286;860;24132;22720;2204;736;11601;1347;10100;14220;20436;473;82;79;5240;2346;55;1582;1180;384;28;830;786;74;23;376;51;349;475;698;20;167;83;54;18366;5926;442;12574;11771;1141;397;6095;670;5199;7495;10695;229;44;27;3010;1247;28;820
75;3054156;1217980;78206;2393905;1776321;103902;62481;945276;105203;917335;1323098;1499736;121712;4186;176;306511;37636;4361;112126;1130420;450775;29450;883501;656579;38453;22997;350723;38833;339854;488396;555453;45790;1601;76;113235;14215;1660;41449;151690;58900;4278;117267;86583;5307;3224;45976;4865;45298;65164;72526;6249;253;8;15759;1921;212;5741;2213903;887299;56085;1736316;1290553;75103;44989;687205;77015;665436;959768;1091667;88332;3077;172;221776;27122;3166;80027;1588071;636371;39990;1246351;925480;53887;32362;492821;55069;477775;688288;783699;63055;2194;108;158865;19544;2282;57309;121050;47997;3156;94521;69964;4095;2517;37406;4122;36331;52289;58991;4926;167;12;12183;1510;173;4527;68535;27353;1705;53803;39771;2306;1378;21301;2365;20489;29647;33595;2645;90;0;6780;858;101;2573;817260;326627;20333;641827;477572;27477;16488;253828;28469;245442;353657;403042;32014;1057;40;81158;10070;1216;30480;55477;22917;1180;44145;33396;1793;1080;17876;2080;16898;24099;28478;2100;55;4;5084;704;87;1976;813065;325146;19802;639364;474925;27369;16611;253658;28602;244650;351964;401626;31974;984;36;80273;10086;1221;30053;1312054;524304;33974;1027256;762538;44717;26851;406401;45191;394236;567645;645201;53001;1875;100;131340;16243;1857;47498;1271376;509497;31727;997877;741982;43020;25818;396231;44387;383074;549785;627760;50689;1695;56;126499;15825;1884;46478;155152;60610;4167;120436;89377;5266;3291;47842;5180;46426;66391;74863;6216;223;16;15691;2016;240;5989;10646;4099;305;8107;5972;379;228;3221;335;3216;4521;5031;449;15;1156;144;400;9712;3724;364;7284;5336;352;212;2812;256;2764;4164;4428;432;24;6;1012;124;360;318905;127115;7770;249816;185468;10840;6629;99231;11361;96827;138358;157114;12645;362;0;31878;3974;464;11240;38996;15235;962;30662;22647;1311;785;12033;1311;11614;16803;18926;1456;42;0;3869;465;63;1599;3055;1190;67;2426;1801;100;58;923;108;879;1341;1479;96;295;30;134;122714;48801;3094;97053;71986;4118;2462;37255;4199;36447;53772;60017;4651;170;20;12795;1346;151;4465
