;0_0;0_1;0_2;0_3;0_4;0_5;0_6;0_7;0_8;0_9;0_10;0_11;0_12;0_13;0_14;0_15;0_16;0_17;0_18;0_19;0_20;0_21;0_22;1_0;1_1;1_2;1_3;1_4;1_5;1_6;1_7;1_8;1_9;1_10;1_11;1_12;1_13;1_14;1_15;1_16;1_17;1_18;1_19;1_20;1_21;1_22;2_0;2_1;2_2;2_3;2_4;2_5;2_6;2_7;2_8;2_9;2_10;2_11;2_12;2_13;2_14;2_15;2_16;2_17;2_18;2_19;2_20;2_21;2_22;3_0;3_1;3_2;3_3;3_4;3_5;3_6;3_7;3_8;3_9;3_10;3_11;3_12;3_13;3_14;3_15;3_16;3_17;3_18;3_19;3_20;3_21;3_22;4_0;4_1;4_2;4_3;4_4;4_5;4_6;4_7;4_8;4_9;4_10;4_11;4_12;4_13;4_14;4_15;4_16;4_17;4_18;4_19;4_20;4_21;4_22;5_0;5_1;5_2;5_3;5_4;5_5;5_6;5_7;5_8;5_9;5_10;5_11;5_12;5_13;5_14;5_15;5_16;5_17;5_18;5_19;5_20;5_21;5_22;6_0;6_1;6_2;6_3;6_4;6_5;6_6;6_7;6_8;6_9;6_10;6_11;6_12;6_13;6_14;6_15;6_16;6_17;6_18;6_19;6_20;6_21;6_22;7_0;7_1;7_2;7_3;7_4;7_5;7_6;7_7;7_8;7_9;7_10;7_11;7_12;7_13;7_14;7_15;7_16;7_17;7_18;7_19;7_20;7_21;7_22;8_0;8_1;8_2;8_3;8_4;8_5;8_6;8_7;8_8;8_9;8_10;8_11;8_12;8_13;8_14;8_15;8_16;8_17;8_18;8_19;8_20;8_21;8_22;9_0;9_1;9_2;9_3;9_4;9_5;9_6;9_7;9_8;9_9;9_10;9_11;9_12;9_13;9_14;9_15;9_16;9_17;9_18;9_19;9_20;9_21;9_22;10_0;10_1;10_2;10_3;10_4;10_5;10_6;10_7;10_8;10_9;10_10;10_11;10_12;10_13;10_14;10_15;10_16;10_17;10_18;10_19;10_20;10_21;10_22;11_0;11_1;11_2;11_3;11_4;11_5;11_6;11_7;11_8;11_9;11_10;11_11;11_12;11_13;11_14;11_15;11_16;11_17;11_18;11_19;11_20;11_21;11_22;12_0;12_1;12_2;12_3;12_4;12_5;12_6;12_7;12_8;12_9;12_10;12_11;12_12;12_13;12_14;12_15;12_16;12_17;12_18;12_19;12_20;12_21;12_22;13_0;13_1;13_2;13_3;13_4;13_5;13_6;13_7;13_8;13_9;13_10;13_11;13_12;13_13;13_14;13_15;13_16;13_17;13_18;13_19;13_20;13_21;13_22;14_0;14_1;14_2;14_3;14_4;14_5;14_6;14_7;14_8;14_9;14_10;14_11;14_12;14_13;14_14;14_15;14_16;14_17;14_18;14_19;14_20;14_21;14_22;15_0;15_1;15_2;15_3;15_4;15_5;15_6;15_7;15_8;15_9;15_10;15_11;15_12;15_13;15_14;15_15;15_16;15_17;15_18;15_19;15_20;15_21;15_22;16_0;16_1;16_2;16_3;16_4;16_5;16_6;16_7;16_8;16_9;16_10;16_11;16_12;16_13;16_14;16_15;16_16;16_17;16_18;16_19;16_20;16_21;16_22;17_0;17_1;17_2;17_3;17_4;17_5;17_6;17_7;17_8;17_9;17_10;17_11;17_12;17_13;17_14;17_15;17_16;17_17;17_18;17_19;17_20;17_21;17_22;18_0;18_1;18_2;18_3;18_4;18_5;18_6;18_7;18_8;18_9;18_10;18_11;18_12;18_13;18_14;18_15;18_16;18_17;18_18;18_19;18_20;18_21;18_22;19_0;19_1;19_2;19_3;19_4;19_5;19_6;19_7;19_8;19_9;19_10;19_11;19_12;19_13;19_14;19_15;19_16;19_17;19_18;19_19;19_20;19_21;19_22;20_0;20_1;20_2;20_3;20_4;20_5;20_6;20_7;20_8;20_9;20_10;20_11;20_12;20_13;20_14;20_15;20_16;20_17;20_18;20_19;20_20;20_21;20_22;21_0;21_1;21_2;21_3;21_4;21_5;21_6;21_7;21_8;21_9;21_10;21_11;21_12;21_13;21_14;21_15;21_16;21_17;21_18;21_19;21_20;21_21;21_22;22_0;22_1;22_2;22_3;22_4;22_5;22_6;22_7;22_8;22_9;22_10;22_11;22_12;22_13;22_14;22_15;22_16;22_17;22_18;22_19;22_20;22_21;22_22
25;198;86;20;96;43;14;0;55;2;19;93;35;0;0;0;21;0;10;0;0;0;0;0;98;27;7;38;15;7;0;18;0;6;35;10;0;0;0;0;0;2;0;0;0;0;0;11;4;0;6;1;0;0;0;0;3;5;1;0;0;0;0;0;2;0;0;0;0;0;130;53;12;59;29;10;0;34;2;14;42;22;0;0;0;0;0;6;0;0;0;0;0;68;29;6;39;10;2;0;16;2;10;28;18;0;0;0;0;0;6;0;0;0;0;0;9;1;1;4;3;0;0;3;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;24;2;35;16;3;0;19;1;0;10;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;8;2;17;9;0;0;5;1;4;15;3;0;0;0;0;0;4;0;0;0;0;0;78;29;9;40;17;3;0;11;1;8;25;10;0;0;0;0;0;6;0;0;0;0;0;56;24;5;24;16;0;0;10;0;9;20;13;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;14;0;0;0;0;0;7;0;0;7;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;3;1;1;0;1;0;0;5;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51
32;473;162;9;246;137;52;17;130;5;84;181;172;5;0;0;0;0;11;0;0;0;19;0;173;51;3;83;34;9;6;27;1;22;43;46;2;0;0;0;0;6;0;0;0;1;0;31;6;2;11;7;4;0;5;0;1;10;3;0;0;0;0;0;0;0;0;0;0;0;359;124;5;165;104;22;5;91;2;67;106;107;5;0;0;0;0;7;0;0;0;7;0;208;81;8;115;55;18;5;52;1;42;78;68;3;0;0;0;0;5;0;0;0;5;0;66;13;2;28;22;5;0;19;0;11;27;26;2;0;0;0;0;0;0;0;0;5;0;8;8;0;8;1;0;1;5;0;2;4;2;0;0;0;0;0;1;0;0;0;0;0;176;72;2;91;63;15;4;48;0;37;60;66;4;0;0;0;0;2;0;0;0;3;0;4;6;0;4;4;0;0;3;0;3;2;4;0;0;0;0;0;2;0;0;0;0;0;137;54;1;76;41;5;4;34;2;23;44;50;0;0;0;0;0;5;0;0;0;3;0;220;72;4;113;58;25;4;42;1;28;65;61;0;0;0;0;0;3;0;0;0;11;0;145;50;3;83;55;10;3;57;4;34;52;50;1;0;0;0;0;5;0;0;0;7;0;7;1;0;1;2;0;0;2;0;3;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;12;3;15;13;8;1;12;0;5;17;11;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35;717;294;30;403;440;46;27;195;20;187;321;431;11;0;0;8;0;40;0;0;0;51;32;427;154;11;201;197;23;14;99;10;70;157;208;6;0;0;2;0;23;0;0;0;22;18;42;8;4;14;25;3;2;13;2;10;18;17;2;0;0;0;0;0;0;0;0;1;2;562;284;10;336;373;23;15;188;19;203;248;375;23;2;0;2;0;40;0;0;0;40;54;485;219;6;300;286;16;14;141;16;148;224;324;10;0;0;0;0;26;0;0;0;38;36;32;9;3;10;10;0;1;8;1;1;15;12;0;0;0;0;0;3;0;0;0;1;2;21;14;0;17;15;2;0;8;0;7;12;20;1;0;0;0;0;1;0;0;0;1;0;226;113;8;125;144;13;9;91;9;78;106;146;7;0;0;2;0;11;0;0;0;13;10;13;6;0;10;19;0;0;5;1;6;8;10;0;0;0;0;0;4;0;0;0;1;3;269;144;7;214;216;8;4;133;11;111;136;178;9;1;0;2;0;25;0;0;0;39;34;381;148;21;188;193;19;12;77;6;87;135;186;4;1;0;2;0;16;0;0;0;17;17;456;199;12;327;358;14;11;171;22;206;203;302;13;1;0;4;0;40;0;0;0;38;25;48;25;0;31;41;1;1;22;7;18;16;39;2;0;0;0;0;7;0;0;0;8;0;2;1;0;4;5;0;0;2;0;4;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;523;25;0;0;0;0;0;73;32;0;48;35;1;0;24;1;22;27;36;0;0;0;2;5;6;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;104;25;0;45;47;2;2;14;2;24;31;46;1;0;0;0;0;5;0;0;0;26;0;34;11;0;18;12;0;0;12;0;0;19;11;0;0;0;0;0;0;0;0;0;0;26
36;219;74;11;282;157;29;15;148;0;130;148;174;11;0;0;0;240;4;0;0;3;28;50;105;25;3;94;51;11;3;49;0;40;60;60;5;0;0;0;82;3;0;0;3;11;20;30;9;1;24;10;5;1;17;0;13;17;19;1;0;0;0;22;1;0;0;0;2;14;297;103;13;354;240;31;13;185;2;172;172;219;9;0;0;0;261;7;0;0;2;30;12;178;55;13;231;157;8;0;131;2;112;124;178;5;0;0;0;77;4;0;0;2;22;4;31;9;1;22;7;6;1;17;0;6;19;13;2;0;0;0;27;0;0;0;0;0;20;18;6;2;31;15;2;3;23;0;12;25;13;1;0;0;0;51;0;0;0;0;2;2;142;35;11;209;153;11;1;115;1;119;105;155;2;0;0;0;123;1;0;0;0;15;16;8;3;0;7;7;0;0;2;0;2;4;5;0;0;0;0;0;0;0;0;0;2;0;137;30;14;208;156;14;4;118;0;95;88;134;2;0;0;0;67;2;0;0;0;7;14;175;52;7;236;92;18;9;98;0;85;96;110;6;0;0;0;204;1;0;0;0;18;28;204;62;15;275;207;19;4;154;2;146;133;185;9;0;0;0;88;9;0;0;3;22;20;13;3;1;22;24;0;0;10;2;8;9;21;1;0;0;0;0;1;0;0;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;38;20;2;0;12;0;18;46;27;0;0;0;0;989;0;0;0;0;41;0;10;3;2;15;15;0;0;11;1;11;7;16;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;0;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;20;5;2;21;11;1;1;8;0;6;14;7;0;0;0;0;21;2;0;0;0;9;0;80;22;2;90;46;18;8;54;0;34;50;52;2;0;0;0;42;0;0;0;0;6;51
38;1052;468;33;842;529;92;14;245;9;291;569;499;24;0;1;0;153;57;0;0;0;37;15;519;188;13;274;201;31;9;88;2;136;201;204;5;0;0;0;24;25;0;0;1;11;4;52;27;3;43;30;7;0;11;0;15;33;26;1;0;0;0;18;1;0;0;0;0;0;1172;471;27;882;646;100;9;256;9;312;551;584;34;0;2;0;191;45;0;0;1;26;8;706;306;20;595;382;42;8;163;7;219;396;417;17;0;1;0;101;30;0;0;0;16;7;86;37;1;63;25;9;0;12;0;11;45;25;3;0;1;0;19;1;0;0;0;3;1;39;19;0;38;12;9;1;10;0;2;21;12;3;0;0;0;19;2;0;0;0;2;0;311;163;4;281;215;33;11;80;1;113;181;178;9;0;0;0;40;18;0;0;0;6;0;3;0;0;4;6;0;1;3;0;2;1;4;1;0;0;0;0;0;0;0;0;0;0;427;185;7;362;326;18;5;105;0;187;200;230;21;0;0;0;32;10;0;0;2;3;2;738;287;25;620;352;49;7;147;6;179;320;341;18;0;1;0;130;29;0;0;0;21;5;607;298;18;543;440;35;10;172;7;247;335;345;13;0;0;0;84;32;0;0;0;16;2;47;11;0;45;37;2;0;15;0;27;30;22;2;0;0;0;7;0;0;0;0;0;2;5;2;0;4;1;0;0;3;0;6;2;2;0;1;0;0;0;0;0;0;0;0;0;4;2;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;153;24;0;171;80;6;0;20;0;42;112;84;11;0;0;0;7502;0;0;0;0;103;0;104;37;7;94;56;7;1;24;0;30;60;46;1;0;0;0;11;8;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;33;10;0;20;14;2;0;4;0;8;18;17;0;0;0;0;0;2;0;0;0;7;4;10;4;1;2;4;0;0;4;0;2;8;2;0;0;1;0;0;0;0;0;0;0;9
40;1087;430;25;979;615;94;27;278;14;367;606;608;22;0;0;1;2;19;0;0;0;20;1;550;207;12;380;225;59;7;107;4;112;234;242;10;0;0;1;0;11;0;0;0;6;0;42;8;0;41;23;1;0;11;0;12;18;13;2;0;0;0;0;1;0;0;0;2;0;1236;471;24;1013;748;97;42;342;17;378;670;634;29;0;0;0;2;18;0;0;0;12;0;774;297;27;709;383;54;27;226;16;230;452;442;17;0;0;0;18;13;0;0;0;18;0;95;48;0;71;39;18;2;27;0;21;51;47;1;0;0;0;0;0;0;0;0;0;0;43;15;0;36;14;4;3;13;0;4;19;25;2;0;0;0;0;1;0;0;0;0;0;376;145;12;285;215;42;15;120;15;103;222;203;4;1;0;0;0;5;0;0;0;6;0;15;6;3;15;18;0;1;19;3;5;13;18;0;0;0;0;0;0;0;0;0;0;0;371;136;14;374;259;30;9;111;6;131;224;197;7;0;0;0;1;4;0;0;0;10;0;839;316;22;710;375;59;20;169;9;235;363;371;12;0;0;2;0;16;0;0;1;8;0;817;347;16;715;428;73;20;198;17;226;454;391;17;2;0;4;0;16;0;0;1;8;0;60;22;0;59;32;4;2;21;1;28;31;39;0;0;0;0;0;1;0;0;0;0;0;9;3;0;9;7;1;0;3;0;1;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;11;11;0;18;14;8;0;0;0;3;3;2;0;0;0;0;148;0;0;0;0;0;0;47;18;2;42;27;3;2;22;0;12;20;24;1;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;6;2;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42;7278;2738;233;4978;3820;513;125;2196;81;1991;3644;3926;134;17;0;408;65;277;0;0;10;266;57;3247;1217;86;2084;1472;216;58;915;32;751;1425;1515;52;10;0;109;39;123;0;0;0;79;13;319;91;26;194;168;9;3;78;5;69;135;156;3;0;0;18;0;7;0;0;0;13;4;6567;2561;202;5250;4367;353;130;2175;99;2124;3274;3764;105;10;0;330;95;299;0;0;3;205;28;5023;1838;137;3987;2823;261;101;1606;72;1455;2597;2821;69;10;0;187;99;235;0;0;4;143;39;471;191;12;273;186;35;1;137;7;84;222;208;7;5;0;25;0;12;0;0;1;9;7;142;68;5;140;92;4;15;64;0;40;74;90;2;0;0;8;6;17;0;0;0;3;3;2451;1015;55;2021;1636;191;58;1043;35;750;1313;1460;51;6;0;128;49;134;0;0;1;78;29;120;40;2;109;111;4;2;40;9;42;61;88;1;0;0;7;0;3;0;0;0;5;0;2516;869;98;2180;1847;145;55;860;61;960;1293;1611;41;5;0;157;36;162;0;0;2;122;12;4581;1644;138;3307;2133;257;67;1210;57;1090;1946;2057;79;12;0;309;37;172;0;0;9;143;40;4167;1672;106;3562;2854;241;74;1515;75;1489;2134;2570;68;6;0;190;36;224;0;0;1;162;25;138;61;8;122;110;13;4;79;4;58;81;89;2;0;0;17;6;5;0;0;0;5;1;16;4;0;17;9;2;0;20;0;14;14;18;0;3;0;6;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;205;53;8;122;105;10;0;82;3;105;122;120;0;0;0;201;0;9;0;0;3;13;1;89;52;0;32;42;9;0;33;0;14;48;44;0;0;0;0;823;0;0;0;0;0;0;390;128;8;327;253;17;1;138;9;113;193;236;7;2;0;10;8;32;0;0;1;16;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;173;65;0;115;105;11;2;54;1;58;74;114;5;0;0;22;0;12;0;0;1;36;9;56;10;0;16;20;0;0;14;2;8;22;38;0;0;0;0;0;0;0;0;2;4;16
43;847;266;29;495;460;32;20;261;45;305;392;452;14;9;0;15;220;27;0;0;2;89;66;318;101;6;172;139;9;3;82;11;96;140;151;7;1;0;3;55;6;0;0;0;38;18;75;34;5;42;26;0;5;16;1;30;39;34;0;0;0;0;55;1;0;0;1;1;8;795;231;28;505;475;30;10;231;27;303;332;404;24;14;0;24;165;33;0;0;1;53;46;621;165;26;365;288;20;7;187;23;259;292;292;12;8;0;12;55;29;0;0;2;47;51;34;11;3;21;15;5;0;8;1;11;17;19;1;1;0;0;110;0;0;0;1;6;2;14;3;2;7;6;0;2;4;2;10;6;11;0;0;0;0;0;0;0;0;0;0;0;317;98;14;201;209;14;1;123;17;130;153;158;11;5;0;3;55;13;0;0;3;25;21;33;8;1;18;21;2;0;22;1;9;7;18;0;0;0;0;0;0;0;0;1;2;0;417;102;15;296;285;6;9;176;25;225;180;187;11;5;0;3;55;12;0;0;1;40;45;555;157;24;308;232;11;6;141;18;143;216;214;10;6;0;15;220;19;0;0;2;40;35;625;179;25;411;334;19;10;202;27;258;304;299;13;6;0;6;110;15;0;0;1;54;31;25;7;3;10;20;2;0;11;2;18;8;14;1;0;0;0;55;1;0;0;0;3;0;12;5;0;11;12;0;0;11;1;15;8;7;1;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;3;3;0;0;0;3;0;0;0;0;0;0;0;30;6;0;6;18;0;0;0;6;0;6;12;0;0;0;0;1578;0;0;0;0;55;0;86;14;2;69;64;6;0;40;8;38;36;45;1;2;0;0;55;17;0;0;0;11;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;0;1;5;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;1;0;2;49;18;0;20;29;6;0;14;5;13;11;24;0;0;0;0;0;6;0;0;0;28;4;53;10;4;40;40;0;2;22;4;24;26;40;2;0;0;6;0;0;0;0;0;0;22
44;2791;885;72;1534;1557;214;88;688;109;667;1189;1591;51;2;0;55;120;98;0;0;5;155;28;1062;366;24;503;511;62;18;225;38;231;340;544;18;0;0;18;7;21;0;0;1;37;20;110;31;3;48;58;8;9;14;6;24;41;52;2;0;0;5;0;4;0;0;1;2;0;1969;675;60;1256;1349;159;48;547;103;586;793;1071;22;4;0;16;32;56;0;0;1;88;19;1841;629;44;1178;1163;141;46;486;92;576;731;1127;20;3;0;34;43;71;0;0;2;75;13;240;66;12;125;99;22;8;69;8;56;100;108;2;0;0;5;0;4;0;0;0;4;3;50;11;0;29;28;4;4;10;0;9;19;25;1;0;0;0;3;0;0;0;0;0;0;852;271;26;538;589;81;36;265;44;288;363;506;5;1;0;6;6;17;0;0;1;33;5;107;38;2;76;129;9;6;42;9;60;35;84;2;0;0;1;0;4;0;0;0;4;0;793;256;9;573;640;66;27;220;40;288;306;492;9;0;0;10;35;35;0;0;0;29;4;1483;446;41;774;629;94;41;274;39;278;518;635;19;1;0;20;7;44;0;0;4;52;26;1964;642;42;1300;1312;158;49;573;105;671;822;1119;29;1;0;45;22;89;0;0;1;116;6;72;37;2;34;50;6;2;18;5;28;31;47;0;0;0;5;6;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;25;0;10;15;6;0;10;10;15;10;18;0;0;0;10;0;5;0;0;0;2;0;70;0;0;25;31;0;0;0;0;0;0;4;0;0;0;0;1790;0;0;0;0;0;0;260;84;5;158;166;23;12;91;19;89;110;155;6;0;0;8;0;22;0;0;0;14;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;0;3;3;0;0;1;2;1;3;3;0;0;0;0;0;0;0;0;0;2;0;99;37;0;39;31;5;0;10;1;11;47;44;3;0;0;0;0;5;0;0;0;21;4;87;47;4;47;27;9;0;18;0;18;30;37;2;0;0;0;0;2;0;0;0;0;21
45;86;20;12;86;41;1;6;6;0;44;49;19;0;0;0;0;0;0;0;0;0;19;66;23;3;2;15;8;0;2;0;0;9;9;4;0;0;0;0;0;0;0;0;0;2;12;4;2;1;4;2;0;0;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;117;28;4;116;59;1;12;4;0;55;61;33;0;0;0;0;0;0;0;0;0;14;40;54;13;4;50;17;0;5;0;0;15;32;14;0;0;0;0;0;0;0;0;0;10;30;5;0;0;3;2;0;0;2;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;4;4;0;0;1;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;15;0;83;42;0;8;0;0;32;38;21;0;0;0;0;0;0;0;0;0;4;8;75;18;8;73;29;0;5;2;0;33;30;14;0;0;0;0;0;0;0;0;1;14;44;37;7;2;36;17;1;3;3;0;14;22;7;0;0;0;0;0;0;0;0;0;8;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;5;4;4;4;2;0;0;0;0;6;2;0;0;0;0;0;0;0;0;0;0;2;8;56;8;16;40;18;4;0;8;0;28;26;4;0;0;0;0;0;0;0;0;0;16;47
